date,Open,High,Low,Close,Volume
2025-02-07,1266.45,1284.75,1262.0,1266.85,375026.0
2025-02-10,1263.8,1266.0,1245.85,1253.4,539885.0
2025-02-11,1263.05,1263.4,1230.0,1234.6,554854.0
2025-02-12,1219.95,1227.85,1193.65,1215.7,596942.0
2025-02-13,1218.95,1227.95,1212.15,1216.2,360188.0
2025-02-14,1220.0,1224.3,1206.0,1216.95,358010.0
2025-02-17,1215.75,1227.2,1205.15,1224.75,207944.0
2025-02-18,1225.25,1229.95,1216.4,1224.95,206583.0
2025-02-19,1222.75,1232.8,1217.6,1226.95,110206.0
2025-02-20,1226.25,1239.4,1223.0,1233.05,206262.0
2025-02-21,1229.95,1239.95,1222.35,1227.7,907589.0
2025-02-24,1219.4,1223.0,1210.6,1214.75,477209.0
2025-02-25,1213.95,1221.0,1201.0,1203.9,881729.0
2025-02-27,1213.55,1215.0,1201.0,1207.05,193166.0
2025-02-28,1201.0,1217.4,1193.3,1199.6,437656.0
2025-03-03,1209.8,1209.8,1156.0,1171.1,542446.0
2025-03-04,1165.0,1174.1,1159.25,1161.7,286826.0
2025-03-05,1162.0,1183.05,1158.0,1175.75,348560.0
2025-03-06,1201.0,1214.0,1185.5,1210.55,652420.0
2025-03-07,1214.05,1254.5,1212.3,1249.1,794738.0
